time,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_direction_10m_dominant,sunshine_duration,is_rainy
2025-01-01,27.4,21.1,22.0,0.0,34,36609.71,False
2025-01-02,27.2,19.1,20.4,0.0,38,36608.81,False
2025-01-03,28.9,18.7,20.3,0.0,43,36491.91,False
2025-01-04,28.3,19.1,21.0,0.0,33,35193.13,False
2025-01-05,24.9,20.3,20.8,0.0,21,36840.23,False
2025-01-06,25.4,19.4,20.4,0.0,27,36840.32,False
2025-01-07,29.2,19.3,21.5,0.0,27,36960.45,False
2025-01-08,30.7,19.9,22.8,0.0,23,36960.93,False
2025-01-09,31.0,20.8,23.3,0.0,29,36961.01,False
2025-01-10,33.0,21.2,24.2,0.0,34,37081.98,False
2025-01-11,32.6,21.7,23.3,0.0,45,37196.97,False
2025-01-12,30.6,19.6,21.8,0.0,32,37314.65,False
2025-01-13,26.3,19.7,21.9,0.0,14,37434.99,False
2025-01-14,25.9,19.4,20.9,0.0,20,37429.94,False
2025-01-15,25.3,19.6,21.5,0.0,13,36264.41,False
2025-01-16,29.8,19.8,22.2,0.0,25,37551.52,False
2025-01-17,24.9,18.3,18.1,0.0,40,23603.98,False
2025-01-18,23.0,18.6,17.8,0.0,35,19212.28,False
2025-01-19,25.7,19.0,18.8,0.0,34,37413.53,False
2025-01-20,25.8,18.4,19.7,0.0,31,36744.1,False
2025-01-21,28.7,18.7,21.8,0.0,16,37949.53,False
2025-01-22,24.5,19.4,20.9,0.0,8,37952.97,False
2025-01-23,22.4,19.2,19.6,0.0,8,38093.16,False
2025-01-24,23.1,19.5,19.9,0.0,12,37551.65,False
2025-01-25,25.3,20.0,20.3,0.0,16,38242.65,False
2025-01-26,26.0,20.3,20.0,0.0,20,38388.63,False
2025-01-27,26.0,20.2,20.5,0.0,22,38603.54,False
2025-01-28,34.1,20.9,23.0,0.0,37,38643.39,False
2025-01-29,28.5,21.3,20.9,0.0,33,38684.2,False
2025-01-30,28.3,20.6,20.7,0.0,29,38725.89,False
2025-01-31,28.0,21.0,19.5,0.0,30,38756.94,False
2025-02-01,24.4,18.6,17.6,0.0,25,38786.29,False
2025-02-02,27.3,18.5,17.4,0.0,39,38815.19,False
2025-02-03,23.5,16.8,16.2,0.0,31,38843.64,False
2025-02-04,24.0,17.3,16.9,0.0,26,38715.51,False
2025-02-05,26.1,18.0,18.0,0.0,28,38899.09,False
2025-02-06,27.0,17.7,18.3,0.0,31,38926.07,False
2025-02-07,26.8,17.8,18.1,0.0,33,38952.52,False
2025-02-08,25.4,17.6,18.2,0.0,29,38978.44,False
2025-02-09,26.9,19.1,19.6,0.0,22,39003.8,False
2025-02-10,24.4,18.9,19.6,0.0,12,39028.61,False
2025-02-11,23.7,18.6,19.5,0.0,7,39052.83,False
2025-02-12,23.6,18.7,20.0,0.0,356,39076.46,False
2025-02-13,23.2,18.7,20.2,0.0,346,39099.49,False
2025-02-14,23.3,18.2,20.5,0.0,342,39121.91,False
2025-02-15,22.4,18.2,19.7,0.0,360,39143.7,False
2025-02-16,22.9,17.9,19.2,0.0,11,36186.52,False
2025-02-17,23.8,18.2,19.7,0.0,6,39185.27,False
2025-02-18,23.0,18.3,18.8,0.0,10,39205.02,False
2025-02-19,25.3,18.8,19.1,0.0,19,39224.11,False
2025-02-20,25.9,19.0,20.1,0.0,19,39242.56,False
2025-02-21,24.3,18.3,19.7,0.0,10,39260.4,False
2025-02-22,30.1,18.8,20.7,0.0,25,39277.65,False
2025-02-23,29.0,20.3,20.4,0.0,35,39294.34,False
2025-02-24,28.2,19.8,20.0,0.0,33,39310.48,False
2025-02-25,30.6,21.6,20.4,0.0,44,39326.11,False
2025-02-26,28.6,20.2,19.9,0.0,41,39341.25,False
2025-02-27,30.7,18.8,21.0,0.0,31,39355.92,False
2025-02-28,25.0,18.9,20.5,0.0,8,39370.16,False
2025-03-01,23.7,18.9,20.7,0.0,1,26858.37,False
2025-03-02,22.6,19.1,20.0,0.1,351,29783.98,True
2025-03-03,21.5,18.7,18.7,0.1,4,30156.31,True
2025-03-04,20.7,18.4,18.4,0.0,8,19659.54,False
2025-03-05,22.0,17.8,18.9,0.0,4,39435.73,False
2025-03-06,21.7,18.1,17.9,0.0,10,35067.46,False
2025-03-07,22.2,18.1,19.0,0.0,4,39459.86,False
2025-03-08,21.9,18.3,18.8,0.0,2,39471.45,False
2025-03-09,22.1,18.1,18.9,0.0,4,39482.43,False
2025-03-10,22.0,18.0,19.1,0.0,4,39492.85,False
2025-03-11,22.5,18.1,19.3,0.0,3,39502.73,False
2025-03-12,22.3,18.7,19.0,0.0,8,39512.12,False
2025-03-13,22.3,18.2,19.1,0.0,3,39521.07,False
2025-03-14,22.2,18.0,19.3,0.0,6,39529.61,False
2025-03-15,24.2,18.6,19.9,0.0,14,39537.78,False
2025-03-16,25.0,19.7,20.6,0.0,11,39545.64,False
2025-03-17,25.8,20.2,21.0,0.0,14,39553.21,False
2025-03-18,26.7,20.6,21.0,0.0,9,39560.54,False
2025-03-19,23.5,19.3,20.0,0.0,9,39567.68,False
2025-03-20,22.4,18.7,18.8,0.0,6,39574.68,False
2025-03-21,22.8,18.6,19.1,0.0,8,39581.56,False
2025-03-22,23.7,19.1,19.8,0.0,3,39588.37,False
2025-03-23,24.0,19.5,19.4,0.0,9,39606.11,False
2025-03-24,23.8,19.2,19.2,0.0,14,39601.38,False
2025-03-25,25.2,19.2,19.8,0.0,13,39701.52,False
2025-03-26,24.0,18.6,19.4,0.0,15,39693.07,False
2025-03-27,22.3,18.4,19.2,0.0,8,39797.12,False
2025-03-28,23.7,18.7,19.5,0.0,3,30082.96,False
2025-03-29,23.1,18.8,19.6,0.0,14,34856.96,False
2025-03-30,23.9,19.3,20.0,0.0,10,36372.7,False
2025-03-31,24.2,19.8,19.7,0.0,17,35846.12,False
2025-04-01,24.3,20.0,19.5,0.0,17,39995.79,False
2025-04-02,22.5,19.0,19.0,0.0,11,40109.91,False
2025-04-03,22.3,18.5,19.0,0.0,6,40226.22,False
2025-04-04,22.6,18.3,18.9,0.0,9,40222.02,False
2025-04-05,23.5,19.2,19.6,0.0,4,40341.41,False
2025-04-06,25.6,20.0,20.4,0.0,17,40462.88,False
2025-04-07,25.5,20.1,21.0,0.0,13,40460.28,False
2025-04-08,26.4,20.5,21.6,0.0,12,40584.66,False
2025-04-09,24.4,20.2,20.7,0.0,6,40710.99,False
2025-04-10,23.1,19.0,20.8,0.0,357,40709.92,False
2025-04-11,23.3,18.6,20.7,0.0,359,40708.66,False
2025-04-12,23.2,19.3,20.2,0.0,4,40707.21,False
2025-04-13,23.2,19.3,20.2,0.0,6,39600.0,False
2025-04-14,23.3,19.5,20.6,0.0,5,40037.85,False
2025-04-15,24.9,19.5,22.0,0.0,358,40702.12,False
2025-04-16,26.3,20.3,22.3,0.0,6,41240.26,False
2025-04-17,26.2,20.5,22.8,0.0,2,41377.59,False
2025-04-18,25.4,20.1,22.9,0.0,356,40559.61,False
2025-04-19,25.6,20.9,22.6,0.0,5,41381.79,False
2025-04-20,27.3,21.3,23.1,0.0,16,40138.78,False
2025-04-21,28.0,21.5,22.4,0.0,18,41246.36,False
2025-04-22,29.9,22.7,24.8,0.0,12,39600.0,False
2025-04-23,27.3,21.7,23.6,0.0,10,41529.4,False
2025-04-24,26.5,21.8,23.1,0.0,13,40965.97,False
2025-04-25,26.6,21.8,23.7,0.0,12,41675.96,False
2025-04-26,26.6,21.1,25.4,0.0,318,41392.99,False
2025-04-27,28.4,19.8,25.4,0.0,299,41825.02,False
2025-04-28,26.4,20.5,24.7,0.0,316,41539.79,False
2025-04-29,24.9,20.1,23.4,0.0,332,41831.54,False
2025-04-30,25.9,20.4,23.2,0.0,348,41689.09,False
2025-05-01,24.8,20.8,23.4,0.0,4,41106.64,False
2025-05-02,26.0,20.9,23.7,0.0,359,40423.05,False
2025-05-03,26.3,21.7,24.7,0.0,4,40516.8,False
2025-05-04,26.9,22.6,24.4,0.0,16,41254.52,False
2025-05-05,27.5,22.4,24.8,0.0,4,41700.81,False
2025-05-06,27.9,22.4,24.0,0.0,7,41553.96,False
2025-05-07,25.8,22.1,23.6,0.0,9,41854.89,False
2025-05-08,26.1,22.0,23.2,0.0,14,41257.24,False
2025-05-09,26.0,21.2,23.2,0.0,2,41860.34,False
2025-05-10,25.4,21.5,22.6,0.0,6,41863.06,False
2025-05-11,24.7,21.3,22.0,0.0,7,41865.79,False
2025-05-12,24.9,21.3,22.5,0.0,4,42020.43,False
2025-05-13,25.1,21.5,22.5,0.0,4,40957.29,False
2025-05-14,25.3,21.0,22.4,0.0,3,42026.7,False
2025-05-15,27.3,21.5,23.7,0.0,4,42029.81,False
2025-05-16,26.0,20.8,24.0,0.0,352,42032.9,False
2025-05-17,24.1,20.5,22.1,0.0,354,42035.98,False
2025-05-18,23.8,19.8,22.0,0.0,350,41730.7,False
2025-05-19,24.7,20.2,22.9,0.0,358,41887.57,False
2025-05-20,26.0,21.0,24.1,0.0,350,41580.68,False
2025-05-21,27.4,21.2,25.7,0.0,332,40962.48,False
2025-05-22,28.3,22.2,27.1,0.0,296,41895.58,False
2025-05-23,28.9,22.0,27.6,0.0,201,39932.07,False
2025-05-24,29.0,22.4,28.2,0.0,301,39874.89,False
2025-05-25,26.4,21.8,25.5,0.0,345,36161.92,False
2025-05-26,27.6,21.7,25.2,0.0,353,42062.08,False
2025-05-27,32.9,24.2,28.3,0.0,7,42221.15,False
2025-05-28,30.0,23.1,28.2,0.0,287,42067.3,False
2025-05-29,28.5,23.0,27.2,0.0,326,42069.84,False
2025-05-30,27.5,22.5,26.3,0.0,310,42072.35,False
2025-05-31,29.5,21.4,28.4,0.0,285,38733.71,False
2025-06-01,30.1,23.1,29.2,0.0,295,12812.65,False
2025-06-02,28.1,23.2,27.7,0.0,331,35996.64,False
2025-06-03,27.6,23.0,26.7,0.0,309,41767.52,False
2025-06-04,30.8,23.0,29.5,0.0,292,42084.0,False
